model,parameter_value,a,b,K0,n,n_over_n0,eps,mu_b,P,dP_dn,d2eps_dn2,vs2,quark_fraction,n_q,n_n,k_bu,k_f,label,target_k0,energy_per_baryon_minus_mn
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.2648552517985611,1.655345323741007,246.0286438200714,965.8016007873194,9.734058978091726,187.9705515315972,711.2017818192242,0.19462646508181805,0.00027752359764249404,7.350358233364533e-05,0.26478174821622746,0.08025383734310632,2.003769231613901,k0_280,280.0,-9.08263042036458
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.2706094964028777,1.6913093525179854,251.59787688903296,970.0263543080645,10.861125318670272,204.45342996828825,757.1937457451584,0.21077100540647495,0.0003565462297797295,9.64847956850373e-05,0.27051301160719265,0.09194522494325888,2.0337015980028275,k0_280,280.0,-8.254812807975554
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.27636374100719424,1.7272733812949639,257.1921816507155,974.5254224921305,12.087009070549799,222.39614292708353,806.5451960045095,0.22820968832024435,0.00044975090253733296,0.00012429484194657935,0.27623944616524765,0.10435469604662623,2.0641261471614682,k0_280,280.0,-7.370747720409781
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.28211798561151075,1.7632374100719421,262.8131921973222,979.3191821384919,13.42056892958823,241.97151776064445,859.6195140481087,0.24708136241369535,0.0005584853016894276,0.00015755874830625818,0.2819604268632045,0.11748694542206939,2.0950802678072913,k0_280,280.0,-6.42808469776935
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.2878722302158273,1.7992014388489206,268.4626658901637,984.4302269755486,14.87173567149474,263.3828038148533,916.82385550465,0.26754847280953636,0.0006860547753036084,0.00019749611821686804,0.28767473409761046,0.13153069639729145,2.12660109846319,k0_280,280.0,-5.424233004731377
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.29362647482014387,1.835165467625899,274.1424968411226,989.8836378229933,16.451707085031003,286.8709838371206,978.6155018538087,0.28980273324652894,0.0008348628638637752,0.00024513783967457,0.2933813369804693,0.1465306763663441,2.1587291019783454,k0_280,280.0,-4.356339260469895
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.29938071942446043,1.8711294964028777,279.8547310538521,995.7072847646344,18.17318729325421,312.7220290443353,1045.5066347921884,0.31407024316213233,0.0010073819998229602,0.0003015907478422495,0.2990791286766182,0.16251872823372485,2.191507166079041,k0_280,280.0,-3.2212621044726575
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.30513496402877693,1.9070935251798558,285.6015833827937,1001.9321588685932,20.050665181589572,341.2716726602014,1118.0698316267628,0.34061355316269504,0.0012082652170228817,0.0003686839635334994,0.3047662800652434,0.17967478118497654,2.224978043994791,k0_280,280.0,-2.015543771447483
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3108892086330935,1.9430575539568342,291.38545649197374,1008.592730277537,22.100708655276293,372.90401198033777,1196.94173529629,0.369727047187545,0.001441804826271779,0.0004482415614430082,0.3104409670716505,0.19809581154727812,2.259187696755994,k0_280,280.0,-0.7353783904984539
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.31664345323741006,1.979021582733813,297.20896193509856,1015.7273140110467,24.342226979321286,408.0396563235387,1282.8220648583351,0.4017216537302855,0.001713709716121147,0.0005426349623591017,0.31610081827505093,0.21793389943502664,2.2941830967893693,k0_280,280.0,0.6234229585031699
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3223976978417266,2.014985611510791,303.0749433241838,1023.3784027360646,26.796628636770105,447.1098729145735,1376.4631241214788,0.43689594359153755,0.002030272437251174,0.0006545551597612899,0.3217431426819653,0.2393242944106719,2.330013372793577,k0_280,280.0,2.0654699245746997
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3281519424460431,2.0509496402877696,308.9865012393347,1031.5928883137508,29.487786126831956,490.51541273447305,1478.6416350763182,0.4754932088920011,0.0023992021180853015,0.0007873028353703526,0.32736463961067275,0.26243198184957695,2.3667286301803743,k0_280,280.0,3.5958319068620312
clausius,4.11410812010825,454.4126974680453,1.9364497235832598,279.9999999698599,0.3339061870503597,2.086913669064748,314.9470189470452,1040.4220360359673,32.44171997089298,538.5718728302988,1590.100946912062,0.5176475066620758,0.002830680319500004,0.0009451816722427402,0.33296100537811696,0.28749015075216905,2.404378137845871,k0_280,280.0,5.220075462527802
