model,parameter_value,a,b,K0,n,n_over_n0,eps,mu_b,P,dP_dn,d2eps_dn2,vs2,quark_fraction,n_q,n_n,k_bu,k_f,label,target_k0,energy_per_baryon_minus_mn
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.08071942446043165,0.5044964028776978,74.76990259143682,917.4722292361905,-0.7101526572114663,-8.330628105558986,-102.78375545807498,-0.009079978488825063,0.0,0.0,0.08071942446043165,0.0,1.1305596255365093,k0_315,315.0,-11.70619784227108
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.08647366906474818,0.5404604316546762,80.04756056265697,916.9504010602706,-0.7542234205515999,-6.8627803176432,-78.58780998681503,-0.007484352817456387,0.0,0.0,0.08647366906474818,0.0,1.1626195984964822,k0_315,315.0,-12.31289283307251
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.09222791366906474,0.5764244604316546,85.32261638689073,916.5662037769381,-0.7891328904382826,-5.148199832306431,-54.94745302306228,-0.00561683358069717,0.0,0.0,0.09222791366906474,0.0,1.1939126609623596,k0_315,315.0,-12.872096824740424
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.0979821582733813,0.6123884892086331,90.59585282782169,916.3168596467407,-0.8134714227655853,-3.189283138871991,-31.71696510494195,-0.0034805461727524323,0.0,0.0,0.0979821582733813,0.0,1.224551548389992,k0_315,315.0,-13.384188057492906
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.10373640287769784,0.6483525179856114,95.86803907782381,916.2003276295453,-0.8258367210252664,-0.9862227729215671,-8.786011466155651,-0.0010764270031131604,0.0,0.0,0.10373640287769784,0.0,1.254633100704004,k0_315,315.0,-13.849591672757356
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.10949064748201438,0.6843165467625899,101.1399344112924,916.2151593881389,-0.8248213569050613,1.4629527217785627,13.941078591241675,0.001596734900954425,0.0,0.0,0.10949064748201438,0.0,1.2842415748536966,k0_315,315.0,-14.268734022179615
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.11524489208633093,0.7202805755395683,106.41229135242826,916.3604391350792,-0.8090003454139374,4.169362498815737,36.55373243272523,0.004549915427111905,0.0,0.0,0.11524489208633093,0.0,1.31345116359324,k0_315,315.0,-14.642014878074633
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.12099913669064748,0.7562446043165467,111.68585863629674,916.6357590154838,-0.7768382935805609,7.131633483788613,59.13906456730055,0.0077802261297861336,0.0,0.0,0.12099913669064748,0.0,1.3423279434039685,k0_315,315.0,-14.969789281732915
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.12675338129496402,0.7922086330935252,116.96138409330516,917.0412118974834,-0.7269260184258297,10.340470424138323,81.78399653939654,0.011275905913478499,0.0,0.0,0.12675338129496402,0.0,1.3709314047274306,k0_315,315.0,-15.252354940119517
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.13250762589928056,0.8281726618705034,122.23961752729073,917.5773941460958,-0.6578351012921755,13.820271848317669,104.57660697446514,0.015061696088512419,0.0,0.0,0.13250762589928056,0.0,1.3993156719493929,k0_315,315.0,-15.489942954638423
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.13826187050359712,0.864136690647482,127.52131363192117,918.2454152256149,-0.5678755689990901,17.599252529509794,127.6071549108103,0.019166175226897942,0.0,0.0,0.13826187050359712,0.0,1.427530489926223,k0_315,315.0,-15.682710587923907
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.14401611510791365,0.9001007194244603,132.80723497929154,919.0469128390653,-0.45529429347630335,21.69176830738614,150.968980990357,0.02360246033619461,0.0,0.0,0.14401611510791365,0.0,1.4556220328955025,k0_315,315.0,-15.830735263363522
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.1497703597122302,0.9360647482014388,138.09815511055712,919.984076385651,-0.3182360875173673,26.117318320223767,174.76049734383335,0.028388880841102263,0.0,0.0,0.1497703597122302,0.0,1.4836335770399498,k0_315,315.0,-15.934009266587509
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.15552460431654674,0.9720287769784172,143.39486179449008,921.0596897636706,-0.15472341742957274,30.898805539064462,199.08992160100644,0.03354701750870523,0.0,0.0,0.15552460431654674,0.0,1.5116060676781184,k0_315,315.0,-15.992434543465606
