rhob,rho_over_rho0,y,fq_star,energy_density,target_k0,mu_b,pressure,vs2,energy_density_mevfm3,pressure_mevfm3
0.0015635602393220336,1.2711871864406779,0.3,0.0010004344041097497,0.0014523849807550912,280.0,0.9425084574886338,2.1283768598877664e-05,0.07884022797400905,189.02634580354504,2.7700596305274616
0.0016677975066101693,1.3559329322033897,0.3,0.0010004344041097497,0.0015508868173130656,280.0,0.9478219329487683,2.9888239169321333e-05,0.09640861906454368,201.84625406905997,3.889922236556005
0.0017720347738983048,1.4406786779661016,0.3,0.0010004344041097497,0.0016499817170877679,280.0,0.9539307245240449,4.041669865884425e-05,0.11683499078343815,214.74334887545353,5.260189934594646
0.0018762720411864406,1.5254244237288135,0.3,0.0010004344041097497,0.0017497570811262208,280.0,0.960933981189557,5.3216481205722e-05,0.14076347992643368,227.7290053751523,6.926067889803466
0.0019805093084745763,1.6101701694915254,0.3,0.0010004344041097497,0.0018503119815747842,280.0,0.968960093690546,6.87225035197398e-05,0.16904169225791885,240.8161177016301,8.944160044986159
0.0020847465757627115,1.694915915254237,0.3,0.0010004344041097497,0.0019517605856813368,280.0,0.9781755130045866,8.748746554990898e-05,0.20280154980943502,254.01954459961576,11.38639970506653
0.0021889838430508473,1.7796616610169491,0.3,0.0010004344041097497,0.002054236666382321,280.0,0.9887976329886925,0.00011022537627684847,0.24350796490355744,267.35669647315376,14.345714372232841
0.002293221110338983,1.864407406779661,0.3,0.0010004344041097497,0.0021578997120087736,280.0,1.0011069381488813,0.00013785985226106353,0.2925961130254592,280.8483305572842,17.942311750137588
0.0023974583776271187,1.9491531525423729,0.3,0.0011931390201651748,0.0022629419693739852,280.0,1.0154267095081106,0.00017150130220257341,0.35223348248032715,294.5194675683393,22.32071033883024
0.002501695644915254,2.0338988983050847,0.3,0.0016874740709751507,0.002369590322669791,280.0,1.032208425331035,0.0002126809996256915,0.42641079556031874,308.39963624027837,27.68020374335496
0.0026059329122033897,2.1186446440677966,0.3,0.002388698107540031,0.0024781311404305792,280.0,1.052105426126861,0.0002635850166211799,0.5199644708485341,322.52610713037495,34.30530689911478
0.0027101701794915254,2.2033903898305085,0.3,0.0034059420463581525,0.002588927511706758,280.0,1.075972999967986,0.0003271424267445133,0.6382986793490457,336.946135888687,42.57723558437625
0.002814407446779661,2.2881361355932204,0.3,0.004925750505560166,0.00270244411081554,280.0,1.1049355671420074,0.0004072947775606338,0.7869601167048391,351.72019937867384,53.00897798263358
0.0029186447140677964,2.3728818813559323,0.3,0.00727150404875373,0.0028192784398034555,280.0,1.1403833586974823,0.0005090954220698311,0.9667486062019361,366.9260618501468,66.25822256103379
0.003022881981355932,2.457627627118644,0.3,0.011009201626054784,0.002940185000758523,280.0,1.1836829641382174,0.0006379489031728743,1.160932775835267,382.66192093974445,83.02836477519482
0.003127119248644068,2.542373372881356,0.3,0.017063415198930943,0.0030660461948380318,280.0,1.2351541028435786,0.0007964279752058173,1.3180563845059377,399.0426202106439,103.65424583955944
0.0032313565159322035,2.627119118644068,0.3,0.02663739637132163,0.00319768317747881,280.0,1.292216438188488,0.0009779288300562645,1.3620654092430984,416.17503216126494,127.27638721888077
0.003335593783220339,2.7118648644067798,0.3,0.04052925844082879,0.003335440415361183,280.0,1.3487078216658226,0.0011633010099679803,1.2541344299125665,434.1039887601941,151.40237739824192
0.0034398310505084745,2.7966106101694916,0.3,0.05828072761260594,0.0034788544128799693,280.0,1.3979327063958245,0.0013297979171017341,1.038881927416552,452.7691665520775,173.07177109213933
0.0035440683177966103,2.8813563559322035,0.3,0.07848956091132259,0.0036268737856959997,280.0,1.436725185612282,0.0014649784260129433,0.8030940627835651,472.033728994055,190.6653691821338
0.003648305585084746,2.9661021016949154,0.3,0.0997990067506152,0.003778375027264497,280.0,1.4658047691000355,0.0015693286984870187,0.6060694111396878,491.75145291564536,204.2464451025993
0.0037525428523728812,3.0508478474576273,0.3,0.1213148046226534,0.003932456752713807,280.0,1.4874897075404796,0.001649412117295447,0.46243373097557056,511.80502404362954,214.66921607406854
0.003856780119661017,3.135593593220339,0.3,0.14253418490925399,0.004088478751730993,280.0,1.5040195018655211,0.0017121937626464146,0.3638120354895392,532.1111196931797,222.84017980715376
0.003961017386949152,3.2203393389830506,0.3,0.16319393134146268,0.004246006518358856,280.0,1.5170670168314793,0.0017631223124777154,0.2975379484126709,552.6131893805002,229.4684758851534
