target_k0,y,branch_label,branch_Tc,branch_nc,branch_Pc,ref_source,reference_group,ref_model,ref_label,ref_K0,ref_Tc,ref_nc,ref_Pc,target_k0_match,parameter_name,parameter_value,delta_k0_match,delta_Tc,delta_nc,delta_Pc,norm_distance_tc_nc,norm_distance_tc_nc_pc
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=280,274.8502925293827,16.428950678568,0.0517254874576871,0.2585732614918814,280.0,c,4.213333333333334,5.1497074706172725,0.052765919029400976,0.0003559484610560007,0.003386276826682577,0.03670639785258982,0.040604356187849286
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_clausius_scan_nearest,scan_nearest,clausius,Clausius scan near K0=315,303.98371955620007,16.71815634111571,0.0536697223342214,0.277481311440553,315.0,c,3.686666666666667,11.016280443799928,-0.2364397435183072,-0.0015882864154782989,-0.015521773121988991,0.16400422737392928,0.1822882515817824
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=250,249.89454341417527,13.01013050858363,0.0584291001467829,0.1914198133736203,250.0,alpha,1.6666666666666667,0.10545658582472583,3.471586089013771,-0.006347664228039805,0.0705397249449437,1.45456054272399,1.4988374957059112
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=280,292.0449393837288,13.79975329477246,0.0603562564119069,0.2214142468977211,280.0,alpha,1.7037037037037035,12.044939383728774,2.6819633028249417,-0.008274820493163804,0.0405452914208429,1.2600213960513076,1.2770500507667062
280.0,0.5,Clausius K0=280 y=0.5,16.4817165975974,0.0520814359187431,0.261959538318564,combined_dieterici_scan_nearest,scan_nearest,dieterici,Dieterici scan near K0=315,337.73558065819384,14.576704896976262,0.0621546979256134,0.2532677134251389,315.0,alpha,1.7407407407407407,22.73558065819384,1.9050117006211398,-0.010073262006870302,0.008691824893425126,1.1359994674048237,1.1368729998764981
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,combined_base_model,base_model,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,,,,,-2.8920063456653082,-0.018053133646265797,-0.2424056777542546,1.9098314908718805,2.2785317329759387
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,combined_base_model,base_model,cs,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,,,,,-1.788462793758356,-0.015704756303691093,-0.18858731856399596,1.5123465718476976,1.7949539501609504
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,combined_base_model,base_model,tvm,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,,,,,-1.4485476235784205,-0.014309465902609196,-0.1656982674860657,1.347086330578476,1.5925433707063859
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,combined_base_model,base_model,rks,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,,,,,-1.417972538240683,-0.009927832350041292,-0.11229317967800406,1.0122627500670967,1.1645022660067474
315.0,0.5,Clausius K0=315 y=0.5,16.822045353851347,0.0543637113084092,0.2844835588150517,combined_base_model,base_model,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,,,,,-0.3194380846389109,-0.006360101309139096,-0.04733863156278556,0.5579156769344986,0.6084101328735145
