target_k0,y,Tc,nc,Pc,dPdn,d2Pdn2,score,iterations,mu_p_star,mu_n_star,c,a_avg,b_avg,a_n,a_pn,b_n,b_pn
290.0,0.4,15.993123460950962,0.052060883289427484,0.25576550518434393,-8.657636829667581e-06,2.3420154704467677e-05,7.210865665755318e-13,10,937.4153188725891,945.6250446749685,3.929255253400764,449.0441779965488,1.9992312831987935,247.65745403286007,650.4309019602375,1.4493131042492868,2.5491494621483
290.0,0.3,14.162036487067288,0.049666519546420956,0.2167707238997355,4.621089622069974e-07,8.94923024574723e-05,1.0941577378358913e-13,11,934.8948812860749,950.4571196676713,3.929255253400764,449.0441779965488,1.9992312831987935,247.65745403286007,650.4309019602375,1.4493131042492868,2.5491494621483
290.0,0.2,10.851425264303314,0.04438944868668594,0.14951953464555912,-6.500347482507607e-07,-6.204758928873844e-05,8.588971529762059e-14,12,934.0640654458658,954.7015127912525,3.929255253400764,449.0441779965488,1.9992312831987935,247.65745403286007,650.4309019602375,1.4493131042492868,2.5491494621483
290.0,0.1,5.236561824110131,0.03236067514914255,0.05355767656664351,1.5169569766992907e-06,8.942985241233714e-05,1.3157397541983272e-13,9,936.53596983391,955.8851455461089,3.929255253400764,449.0441779965488,1.9992312831987935,247.65745403286007,650.4309019602375,1.4493131042492868,2.5491494621483
300.0,0.5,16.679884640144138,0.05341347209460521,0.27493016536447623,8.08723643608289e-07,7.471245844214991e-05,5.822470146382118e-14,11,941.3157291351805,941.3157291351805,3.753994374275208,443.9354895813443,2.0590261392790437,245.1264075886388,642.7445715740498,1.4804640626499397,2.637588215908148
300.0,0.4,16.091174393075534,0.05273067020621401,0.26204625674861004,3.6739433717514203e-06,-4.3365311341858614e-05,1.4604918696209186e-13,11,937.5908864705634,945.8473882370473,3.753994374275208,443.9354895813443,2.0590261392790437,245.1264075886388,642.7445715740498,1.4804640626499397,2.637588215908148
300.0,0.3,14.258373188859562,0.05037046976330103,0.2224311175948459,6.610767488979263e-08,5.3013149425851225e-05,3.685069849706899e-14,11,935.0390336338507,950.7055249818131,3.753994374275208,443.9354895813443,2.0590261392790437,245.1264075886388,642.7445715740498,1.4804640626499397,2.637588215908148
300.0,0.2,10.934755366027504,0.04511654371654618,0.15376611217575797,-8.24138535193697e-07,-8.26561041833429e-05,1.4956450692979766e-13,12,934.1695557488754,954.9792662489896,3.753994374275208,443.9354895813443,2.0590261392790437,245.1264075886388,642.7445715740498,1.4804640626499397,2.637588215908148
300.0,0.1,5.263510129136096,0.032964874714310415,0.05499858406926428,-1.5209181136732752e-07,-6.325356904923751e-05,6.387180728362593e-14,14,936.6261466740287,956.1571024064498,3.753994374275208,443.9354895813443,2.0590261392790437,245.1264075886388,642.7445715740498,1.4804640626499397,2.637588215908148
310.0,0.5,16.775238856064664,0.05405135342616753,0.28131502308590983,3.7761210824882596e-07,5.497546862187619e-05,2.904942332901072e-14,11,941.5107846818443,941.5107846818443,3.5875294213514457,439.0658499510121,2.116068738422963,242.7308576742723,635.4008422277519,1.5109111066450878,2.7212263702008386
